	AveExpr	Coef.BasalvsLP	Coef.BasalvsML	Coef.LPvsML	t.BasalvsLP	t.BasalvsML	t.LPvsML	P.value.BasalvsLP	P.value.BasalvsML	P.value.LPvsML	Results.BasalvsLP	Results.BasalvsML	Results.LPvsML	Genes.ENTREZID	Genes.SYMBOL	Genes.TXCHROM
73824	3.70751837120634	0.295606725468804	0.331716999030734	0.0361102735619299	0	0	0	0.973102000938748	0.969985723554294	0.997848390510045	0	0	0	73824	Snhg6	chr1
266793	-1.71264222907551	-0.548326381857173	0.092742973837642	0.641069355694815	0	0	0	0.751281948183523	0.959356342410513	0.707340673473255	0	0	0	266793	Snord87	chr1
100038398	-0.20093671486493	1.33688918938034	1.27943266635264	-0.0574565230277028	0.504881532394428	0.431455302031426	0	0.321380861248376	0.346097385832273	0.978477688505653	0	0	0	100038398	NA	NA
26754	6.19647617449329	0.438764743149384	0.203569939741652	-0.235194803407731	0	0	0	0.974469742311081	0.994331664059493	0.994473628010974	0	0	0	26754	Cops5	chr1
211660	4.83393550816082	-0.0616639632213536	0.179672900620131	0.241336863841485	0	0	0	0.994800106397369	0.983687573317667	0.979130897821422	0	0	0	211660	Cspp1	chr1
211673	7.71239446068982	-0.271232188653319	-0.191072086829196	0.0801601018241227	0	0	0	0.992044817095587	0.995269202446029	0.998821126866821	0	0	0	211673	Arfgef1	chr1
109294	1.82274232989515	-1.06476190231476	-0.683339886553871	0.381422015760885	-0.0566378819592077	0	0	0.537701544314277	0.698169902554031	0.828982025654687	0	0	0	109294	Prex2	chr1
240725	3.17500433247335	0.899051285639361	3.65832212290834	2.75927083726897	0	2.02002384261991	1.32477441189456	0.607162885413202	0.0495732268890288	0.129965147903475	0	1	1	240725	Sulf1	chr1
240726	-0.6256218599626	1.99819395995055	3.01234556235928	1.01415160240873	0.92236582204504	1.80957851951163	0.0123483079844153	0.210667786687882	0.0642939062031903	0.558844610596718	1	1	0	240726	Slco5a1	chr1
17978	7.08675961272492	-0.633157297841072	-0.776498679551969	-0.143341381710898	0	0	0	0.882028742527477	0.771553326386378	0.994061032361008	0	0	0	17978	Ncoa2	chr1
72265	7.32440522991207	-0.00972459202662268	0.117008062991748	0.126732655018371	0	0	0	0.99895796690651	0.986821659662738	0.988855680069119	0	0	0	72265	Tram1	chr1
212442	4.00336318816415	0.802391205177131	-0.5824987325584	-1.38488993773553	0	0	-0.684248214685183	0.634814696458611	0.778618374773624	0.261593378845003	0	0	0	212442	Lactb2	chr1
14048	-0.0931334443620176	1.35298003234559	5.72410541108389	4.37112537873829	0.22125313724277	2.7509847922758	1.97044762941358	0.510236642930952	0.0194603747599236	0.0565431906912555	0	1	1	14048	Eya1	chr1
17681	-0.952193172514415	-3.21271018202816	-5.95369924365962	-2.74098906163146	-2.63844966788225	-6.27782348288606	-2.93174137371055	0.0195608443787649	0.000364677386606255	0.0127560099192733	-1	-1	-1	17681	Msc	chr1
21749	3.68372801329354	0.862624356062612	0.801545349812222	-0.0610790062503894	0	0	0	0.615228171825812	0.667858204190657	0.986930834492919	0	0	0	21749	Terf1	chr1
226866	0.969771854968661	-1.25411542718546	3.45573803204196	4.70985345922742	-0.0830147929793158	0.752036476945052	1.18231835329049	0.712261600061534	0.349286352195558	0.198209145179182	0	0	1	226866	Sbspon	chr1
19989	8.7347609802631	-0.585296814726846	-0.220939952871543	0.364356861855303	0	0	0	0.862682640224263	0.973332176989733	0.954820286175412	0	0	0	19989	Rpl7	chr1
98711	5.63250895246381	0.459488753962074	0.752964817928592	0.293476063966518	0	0	0	0.96724140019654	0.826538853448493	0.989807130559005	0	0	0	98711	Rdh10	chr1
29819	4.54666857914402	-0.204979337262865	0.108890580544926	0.313869917807791	0	0	0	0.995720255463279	0.998086584784916	0.992697950920072	0	0	0	29819	Stau2	chr1
66799	4.72301771336338	0.581295367145302	0.897488288088419	0.316192920943117	0	0	0	0.862782570375382	0.611013535104727	0.957266334800469	0	0	0	66799	Ube2w	chr1
67923	5.69014017461336	0.170871502841557	0.22299356284626	0.0521220600047032	0	0	0	0.988428931024077	0.984242102568899	0.997362251059985	0	0	0	67923	Eloc	chr1
70397	4.29352066859299	0.47522792312137	0.3870917076248	-0.0881362154965695	0	0	0	0.947313011915448	0.969884255156364	0.996196211907143	0	0	0	70397	Tmem70	chr1
17087	1.4432195679725	-0.559264774949549	-0.638192399422279	-0.0789276244727306	0	0	0	0.778444164708455	0.73792985501856	0.977007500070172	0	0	0	17087	Ly96	chr1
57339	1.95073949506898	-0.0708158459322243	1.60467724803632	1.67549309396854	0	1.55441562608481	1.79861152048544	0.991908473974548	0.0846798018293796	0.060161897096612	0	1	1	57339	Jph1	chr1
94227	2.58627381937469	1.89811014948342	4.98527470478665	3.08716455530323	0.560942078191116	2.15638145852378	1.0930778672327	0.356182388897276	0.0445349258543778	0.194303566309554	0	1	1	94227	Pi15	chr1
83691	2.0267528517816	-0.683006888557977	3.91886515425463	4.6018720428126	0	1.59815641761953	2.04644704033153	0.740959352685307	0.0966462416715883	0.0512328500607727	0	1	1	83691	Crispld1	chr1
21419	6.42168041667427	0.204942260107534	-0.248095048639133	-0.453037308746667	0	0	0	0.967545633263783	0.959729605386408	0.912516478445274	0	0	0	21419	Tfap2b	chr1
241035	-3.43204597835113	-1.60602949165911	-3.3877519065093	-1.78172241485019	-0.431044527636015	-1.79397848700622	-0.654868347563724	0.395956743765635	0.068111556459899	0.296272380844654	0	-1	0	241035	Pkhd1	chr1
17215	5.17910391428653	1.14486911786948	1.3399960351095	0.195126917240017	0.250279628083164	0.596537783298316	0	0.409801736512462	0.288713159481532	0.936262006451056	0	0	0	17215	Mcm3	chr1
74229	2.04650351630312	0.919139203459554	1.19339581552987	0.274256612070312	0	0.245724399801265	0	0.565341996014256	0.421987197464515	0.881145361162693	0	0	0	74229	Paqr8	chr1
71877	1.3793664720935	0.16302419267944	0.48274486647372	0.31972067379428	0	0	0	0.950394344097043	0.828829785305392	0.901636191500808	0	0	0	71877	Efhc1	chr1
170829	2.73724603941802	0.455526865960575	1.32125906151952	0.865732195558942	0	0.793884056251819	0	0.90097979154913	0.228630865868845	0.626808400745311	0	1	0	170829	Tram2	chr1
75712	1.22158394189894	0.42789624315522	0.117047636154782	-0.310848607000438	0	0	0	0.878789040068177	0.975465530435275	0.928221048909255	0	0	0	75712	Tmem14a	chr1
14859	-1.76060714507494	0.786916319025585	0.939011920230945	0.15209560120536	0	0	0	0.635412369640033	0.548630166069297	0.940755958732628	0	0	0	14859	Gsta3	chr1
226922	0.182202223038097	-0.506599419756597	4.82963927064079	5.33623869039739	0	1.26149966660361	1.4678505997792	0.870204701594933	0.176532873484383	0.132008798531761	0	1	1	226922	Kcnq5	chr1
70155	5.51946102756563	-0.808032753566865	0.336355180377431	1.1443879339443	0	0	0.152327842007184	0.633941114580055	0.848908501910942	0.473062945067255	0	0	0	70155	Ogfrl1	chr1
280645	1.67989343955222	-1.13937866252932	-0.390641359736235	0.748737302793081	-0.317939530118182	0	0	0.381641279428411	0.900681845969799	0.724350007298795	0	0	0	280645	B3gat2	chr1
98366	4.93706553999912	0.177978871554957	0.333124617393662	0.155145745838706	0	0	0	0.990854237354222	0.977314560743553	0.993396767590661	0	0	0	98366	Smap1	chr1
68002	2.59348365365951	1.44841882456164	0.261443500723387	-1.18697532383826	0.930744919905733	0	-0.401930150796735	0.194181237538931	0.944740157030728	0.352007129134137	1	0	0	68002	Sdhaf4	chr1
68187	5.44862739050779	0.561958480711306	0.920231622091993	0.358273141380687	0	0	0	0.811862392118306	0.567029545235426	0.907772665731018	0	0	0	68187	Fam135a	chr1
12839	4.94277614763628	-3.56794716214039	-1.95422235958317	1.61372480255722	-2.20737207701574	-0.809805257105687	0.648039750656707	0.0372529502470267	0.246010672863685	0.285647866064267	-1	-1	0	12839	Col9a1	chr1
12823	-2.48205723709686	0.00161653075943224	1.71221705894797	1.71060052818854	0	1.07606626543502	1.12217306328413	0.999427778059796	0.163648592574621	0.15378241551439	0	1	1	12823	Col19a1	chr1
68421	6.24324359532101	-0.235882344341532	-0.248431652220183	-0.0125493078786505	0	0	0	0.975569164125587	0.973851411872381	0.999138509383281	0	0	0	68421	Lmbrd1	chr1
665903	2.17177273659965	0.748131671286337	1.07785732711736	0.329725655831024	0	0.162314009706001	0	0.693945329182817	0.440293223675216	0.909261332197041	0	0	0	665903	Gm7846	NA
213109	7.36665053917895	-0.0111656423664952	0.0212619184787988	0.032427560845294	0	0	0	0.999684278999728	0.999384781837404	0.999340092098188	0	0	0	213109	Phf3	chr1
19243	5.80799886072467	-1.32705155617688	-0.820535059101505	0.506516497075377	-0.626894023377719	0	0	0.278334326235718	0.634789623952709	0.838781565489489	0	0	0	19243	Ptp4a1	chr1
624262	-1.8877905765398	0.173516528572426	0.59409228795055	0.420575759378124	0	0	0	0.922638347337455	0.728896316915108	0.810969261734832	0	0	0	624262	Gm6489	NA
170771	-4.2180268986953	0.554092860792977	2.59462968451338	2.04053682372041	0	0.753878461312991	0.505724904973335	0.821621262845305	0.308103479050161	0.409061372707857	0	0	0	170771	Khdrbs2	chr1
19076	4.19322913302501	0.460196671821868	0.78278132289767	0.322584651075802	0	0	0	0.918251224438195	0.725713125754663	0.957477447055463	0	0	0	19076	Prim2	chr1
67503	-2.05587576270393	-0.0845547105757021	0.136307571404162	0.220862281979864	0	0	0	0.969994929345984	0.951831807136311	0.923939376639467	0	0	0	67503	1700001G17Rik	chr1
19335	3.67840036325665	0.822891276865628	0.665749197506303	-0.157142079359326	0	0	0	0.642778931228256	0.759393705852041	0.963479563552659	0	0	0	19335	Rab23	chr1
213539	4.77760314448458	0.220954570494867	0.594394742416063	0.373440171921195	0	0	0	0.981465734451482	0.88337783220801	0.961140786285568	0	0	0	213539	Bag2	chr1
98403	4.80304609959364	-0.498636711416331	0.15223781850727	0.650874529923601	0	0	0	0.961427255553495	0.995527905807605	0.913365246272548	0	0	0	98403	Zfp451	chr1
433287	3.21703356143747	0.0972308815800988	0.0733235450330136	-0.0239073365470852	0	0	0	0.987534327515414	0.991501156491154	0.997398959199501	0	0	0	433287	Gm15455	chr1
320705	-1.51133631502942	1.21245535570464	1.47633360591255	0.263878250207906	0.157219460028695	0.353613988248848	0	0.515258575586587	0.424339401215752	0.889493710818894	0	0	0	320705	Bend6	chr1
13518	9.71294651974024	-0.687672565896234	-1.19759119139386	-0.509918625497628	0	-0.302340271519925	0	0.696893611820945	0.393170716841036	0.798496489569267	0	0	0	13518	Dst	chr1
69668	3.3516399803768	0.418524722722105	0.482634233727825	0.0641095110057197	0	0	0	0.927122124772027	0.90819242737481	0.993054848484416	0	0	0	69668	Ccdc115	chr1
27993	5.24776835800447	-0.260058786835019	-0.219417911992674	0.040640874842345	0	0	0	0.987394871776968	0.990548470142202	0.998867731758354	0	0	0	27993	Imp4	chr1
52318	4.00695377821704	-0.553677969961167	-0.560646435170485	-0.00696846520931782	0	0	0	0.933209861769411	0.933167019097696	0.999821559963552	0	0	0	52318	D1Ertd448e	NA
19253	3.9714900183763	-2.04197995469774	-2.25104784544528	-0.209067890747543	-0.871844861210283	-1.06434485050299	0	0.228737929828605	0.17875359243012	0.906184089960508	-1	-1	0	19253	Ptpn18	chr1
226970	2.55315524883984	-0.421981102297164	1.24329323967155	1.66527434196872	0	0.248400156747058	0.707491690142225	0.809477930371447	0.435880847145588	0.266514737546389	0	0	0	226970	Arhgef4	chr1
214469	7.92984400407316	-0.0734142678035941	0.100830682312513	0.174244950116107	0	0	0	0.998344920753625	0.997635289830453	0.996879418466728	0	0	0	214469	Fam168b	chr1
226971	6.2541907840475	0.457359724731371	-0.963937625054469	-1.42129734978584	0	0	-1.19853924084239	0.906183943950229	0.537880305985581	0.137186159534322	0	0	-1	226971	Plekhb2	chr1
50785	7.23543259045413	-0.486899536184998	0.473916687220719	0.960816223405717	0	0	0	0.890434992758577	0.89688235248616	0.543019221699567	0	0	0	50785	Hs6st1	chr1
320011	7.47683758884814	0.158223024880152	-0.286663938837756	-0.444886963717908	0	0	0	0.992791466472641	0.982832239489364	0.967590398954982	0	0	0	320011	Uggt1	chr1
214854	-0.286164562939693	-1.95338246382439	-1.37282191846058	0.580560545363811	-0.892195165811466	-0.349223201923562	0	0.218195216800237	0.402168027821831	0.735709839158846	-1	0	0	214854	Neurl3	chr1
214855	7.3620406778827	-1.40014602095246	-1.71133023639744	-0.31118421544498	-0.390171893479758	-0.689357073192692	0	0.382632042500938	0.276418951395187	0.860030384961066	0	0	0	214855	Arid5a	chr1
226976	6.72834610850964	-0.410325830513703	-0.250474245122379	0.159851585391324	0	0	0	0.99037563411639	0.996822844551817	0.998858500938065	0	0	0	226976	Kansl3	chr1
214895	4.87339616275436	-0.279757288881927	-1.23452481791613	-0.954767529034205	0	-0.876817233238421	0	0.981864341513919	0.206503917815257	0.568272015788333	0	-1	0	214895	Lman2l	chr1
94220	5.41258026056673	-0.139549382239242	0.318501528902357	0.458050911141599	0	0	0	0.983710548879453	0.953496876872479	0.922770144340514	0	0	0	94220	Cnnm4	chr1
94218	4.36703908735167	0.41565057040259	-0.0881452074110722	-0.503795777813663	0	0	0	0.914373154361519	0.988546257262732	0.890967587192123	0	0	0	94218	Cnnm3	chr1
78321	2.83064944877365	0.0412117372716669	-0.569272307160049	-0.610484044431716	0	0	0	0.995668522549639	0.884355570541395	0.866858387305161	0	0	0	78321	Ankrd23	chr1
109346	2.82303658806345	0.182468345626254	-0.515372674161187	-0.697841019787441	0	0	0	0.980814026145825	0.914187582970808	0.815556593729987	0	0	0	109346	Ankrd39	chr1
20353	7.43784991373982	-1.62112468260021	-2.81094876724023	-1.18982408464002	-1.2102224222192	-3.42145967358025	-0.384484904959622	0.135858182295309	0.00672688543887658	0.358626289635172	-1	-1	0	20353	Sema4c	chr1
381337	0.251532939495196	-1.76930531844597	-2.66832833265342	-0.899023014207451	-0.982281656380933	-2.20459441582148	0	0.186843983467656	0.0351071828665356	0.571796251438247	-1	-1	0	381337	Fam178b	chr1
12859	3.64306723136214	0.288817546857622	-0.232173689942684	-0.520991236800306	0	0	0	0.968914983102353	0.980805899287001	0.918219302502313	0	0	0	12859	Cox5b	chr1
226977	6.76030223022282	0.0842820032846721	0.10225406857302	0.0179720652883475	0	0	0	0.998673212252915	0.998352396882313	0.999803970440873	0	0	0	226977	Actr1b	chr1
56030	7.10404891753442	0.153814247633744	0.277420326246421	0.123606078612677	0	0	0	0.998633194726354	0.99652280493391	0.999287566328091	0	0	0	56030	Tmem131	chr1
269180	4.79746478754531	-0.290665752399301	0.584043718197902	0.874709470597203	0	0	0	0.96375334549845	0.864301428893174	0.641429620744584	0	0	0	269180	Inpp4a	chr1
76178	6.40624019914942	0.266219774403987	-0.324187359575093	-0.590407133979079	0	0	0	0.973556339118433	0.964394353572175	0.891957522071737	0	0	0	76178	Coa5	chr1
67387	4.76396372382079	0.590048224722128	0.066273073687813	-0.523775151034315	0	0	0	0.86874786795029	0.994568165526654	0.90993001905498	0	0	0	67387	Unc50	chr1
269181	5.92301634885947	-0.957947423962531	0.183263971741795	1.14121139570433	0	0	0.169211438686868	0.552431061415541	0.918599235305327	0.455931370569561	0	0	0	269181	Mgat4a	chr1
77633	2.62151775174783	-0.234902723357088	0.0636498705300643	0.298552593887152	0	0	0	0.979890337049875	0.995477694443558	0.975009708444319	0	0	0	77633	4930594C11Rik	chr1
72097	3.46045711267327	-2.41465540342569	-2.83123731993551	-0.416581916509823	-1.07608176684093	-1.43280836269236	0	0.180334122742009	0.111287579728604	0.812516983897543	-1	-1	0	72097	Cracdl	chr1
211484	1.30222293074298	-0.100810696107842	-0.354061817691359	-0.253251121583517	0	0	0	0.971349513217623	0.891682754320324	0.931866870146542	0	0	0	211484	Tsga10	chr1
623661	1.37773049977194	0.519452444400207	0.555767035004826	0.0363145906046185	0	0	0	0.769194723337507	0.752375804047931	0.98492383273526	0	0	0	623661	Lipt1	chr1
69028	3.16200024879504	0.948667866664063	1.01379187906569	0.0651240124016286	0	0.0262999914225112	0	0.541501770317836	0.493842041766437	0.980788056448054	0	0	0	69028	Mitd1	chr1
107734	4.62491417176717	0.496557420490634	0.259153126984523	-0.237404293506111	0	0	0	0.95227003663168	0.989194639423545	0.990933037157824	0	0	0	107734	Mrpl30	chr1
98258	5.85466856793206	0.0297176504729881	0.110554957945618	0.0808373074726294	0	0	0	0.997806808766234	0.991618506678	0.995128209859053	0	0	0	98258	Txndc9	chr1
226982	7.58202609326668	-0.341332511948784	0.24767897807394	0.589011490022724	0	0	0	0.967587858125714	0.980682636797124	0.907425329525944	0	0	0	226982	Eif5b	chr1
56210	4.51211304413679	-0.269443499335682	0.196285243521507	0.465728742857189	0	0	0	0.982492300881037	0.988746501998988	0.954869801342321	0	0	0	56210	Rev1	chr1
16764	1.07879100875836	0.743238413220729	4.03224058836745	3.28900217514672	0	2.23732022656631	1.72905196864059	0.683732054221503	0.0369019416058814	0.0744718881384674	0	1	1	16764	Aff3	chr1
98388	-0.718469049765875	-1.3693398443428	-0.590126840938164	0.779213003404633	-0.353322281415013	0	0	0.398728394962853	0.73527061230646	0.642705481304252	0	0	0	98388	Chst10	chr1
68833	6.06091295162738	0.219197416850795	0.165166898662767	-0.0540305181880285	0	0	0	0.993538645971494	0.995724030719208	0.999047979874132	0	0	0	68833	Pdcl3	chr1
18143	2.41133562581247	-0.697084891934642	-0.344150713013633	0.352934178921009	0	0	0	0.691525362795077	0.846471590544865	0.841046016115975	0	0	0	18143	Npas2	chr1
114641	3.27748748350923	-0.380862221458791	-0.445790425940351	-0.0649282044815598	0	0	0	0.96071030007581	0.948995278186584	0.996902985563603	0	0	0	114641	Rpl31	chr1
54610	5.07466108493831	-1.41766126063457	-1.99476398646381	-0.577102725829242	-0.551641056422124	-1.32325611614109	0	0.308950965350072	0.119262493857953	0.753935420898234	0	-1	0	54610	Tbc1d8	chr1
52846	4.68392649011253	0.21873466461298	0.647182776723921	0.428448112110941	0	0	0	0.982855496037808	0.857429119958737	0.951098170833887	0	0	0	52846	Cnot11	chr1
100217461	-0.998595172557538	-1.78610099817674	-0.0356705766679708	1.75043042150877	-0.838928430484041	0	0.854215892907102	0.227918638666972	0.984035269540996	0.221754777625778	-1	0	1	100217461	Snord89	chr1
67702	6.60607475426546	-0.661421065847118	0.306711223599686	0.968132289446804	0	0	0	0.735773181002217	0.904351421965637	0.527929841775765	0	0	0	67702	Rnf149	chr1
263764	-3.27742721253187	-0.61053025111873	3.35476304631175	3.96529329743048	0	0.844879181068898	1.11319931893168	0.833071941687296	0.298117887551456	0.207934010314242	0	0	1	263764	Creg2	chr1
26921	8.09170639591224	0.312730721854113	0.959287757764233	0.646557035910121	0	0	0	0.979453172731692	0.557367122044817	0.900237098859817	0	0	0	26921	Map4k4	chr1
16178	-0.867230440713292	-1.28576350802528	-1.05260534619446	0.233158161830826	-0.262964760851336	-0.0486649310803729	0	0.439528648850476	0.533444420434364	0.895349248147301	0	0	0	16178	Il1r2	chr1
16177	4.97536617924001	-0.622482067990673	-1.36018864811672	-0.737706580126051	0	-0.709295988438694	0	0.761876125275963	0.253374035406314	0.706138976691031	0	0	0	16177	Il1r1	chr1
107527	3.11264418832917	-0.142075675919695	0.352120270997163	0.494195946916858	0	0	0	0.958716603976829	0.887356247646566	0.831586352079157	0	0	0	107527	Il1rl2	chr1
17082	1.63553220198337	4.29928526627986	5.84431583905223	1.54503057277237	0.963462806667521	1.31338116552858	0.135312527711951	0.270746371206395	0.172882769309214	0.723197917134039	0	1	0	17082	Il1rl1	chr1
16182	4.01018243520796	-0.128368818763902	-1.7373204920924	-1.6089516733285	0	-1.05280471845094	-0.928805587569034	0.946724413854156	0.169247107379541	0.196982026215696	0	-1	-1	16182	Il18r1	chr1
16174	0.775594452255743	1.33125960450305	0.932221869143283	-0.399037735359765	0.244119768403948	0	0	0.474667363135453	0.609910945818105	0.835205624489465	0	0	0	16174	Il18rap	chr1
110895	-0.861945692471243	-1.17251788360037	0.383861929369924	1.55637981297029	-0.166163025034854	0	0.545941759891585	0.476261354035603	0.829625840392449	0.324119235315083	0	0	0	110895	Slc9a4	chr1
226999	0.715515842043269	-1.2810355462515	-0.656652035057189	0.624383511194307	-0.293817806083127	0	0	0.415479438585606	0.700780753619014	0.71426660000764	0	0	0	226999	Slc9a2	chr1
211798	2.02462338595689	1.83056777192568	1.66422975308689	-0.166338018838798	1.00717932447758	0.839027909663143	0	0.182030531155131	0.223185252849346	0.92678361821617	1	1	0	211798	Mfsd9	chr1
69527	4.90255316480861	0.239188258725623	0.0030992286472129	-0.23608903007841	0	0	0	0.992646095432528	0.999936088437474	0.994278558580221	0	0	0	69527	Mrps9	chr1
73122	5.14224257552771	0.252704484724495	-0.0351877890531869	-0.287892273777682	0	0	0	0.990393243285255	0.999101318717604	0.990372437454302	0	0	0	73122	Tgfbrap1	chr1
98404	4.19948890164477	1.10591192332312	0.519865517494851	-0.586046405828273	0.4122232441703	0	0	0.347013244755842	0.955082901913238	0.92777084393298	0	0	0	98404	AI597479	chr1
14200	5.63179756879603	-0.232587746732795	1.02420342097859	1.25679116771138	0	0.0409888546205317	0.45863624816445	0.922373619434056	0.490813459927531	0.334104565630995	0	0	0	14200	Fhl2	chr1
666642	3.95904767405961	-0.176537364428771	-0.348356898634356	-0.171819534205585	0	0	0	0.991999962894284	0.979237311143308	0.99403740913154	0	0	0	666642	Gm8210	NA
17974	7.21263587647316	-0.297471913890485	-1.99700262816839	-1.6995307142779	0	-2.50111781395801	-1.88261915807106	0.949211385778144	0.0224827491420155	0.0534433088889745	0	-1	-1	17974	Nck2	chr1
100861934	-1.60415842176969	-0.52245321835543	-1.27720799502785	-0.754754776672422	0	-0.359969473084147	0	0.7663468850639	0.377366577711942	0.652504196980508	0	0	0	100861934	NA	NA
78896	2.34499618358167	-2.10804661753104	2.2642058402441	4.37225245777514	-0.378256921205521	0.388364745570128	1.11679453086338	0.522750558317891	0.531814918346849	0.214172164836704	0	0	1	78896	Ecrg4	chr1
67883	3.91044316152621	0.996385225066472	-0.126662284658767	-1.12304750972524	0	0	-0.199512055418794	0.512342931533195	0.958136426980544	0.430492185527551	0	0	0	67883	Uxs1	chr1
100503192	5.17228009829978	0.0315041263556557	-0.202477790210246	-0.233981916565901	0	0	0	0.998679879832772	0.990521802301119	0.990178033334652	0	0	0	100503192	NA	NA
22019	7.03331490234831	-0.139788715133196	0.313549384944181	0.453338100077378	0	0	0	0.992976447116072	0.978367701513998	0.96270976166043	0	0	0	22019	Tpp2	chr1
75623	3.98309930301978	0.155001825301556	0.41320885566383	0.258207030362274	0	0	0	0.991346716936309	0.96036812097309	0.984316025159044	0	0	0	75623	Tex30	chr1
72050	4.43807069580742	0.378597070751618	1.17350541767519	0.794908346923572	0	0.316246339899949	0	0.872535568359086	0.384430169414848	0.64818284255089	0	0	0	72050	Poglut2	chr1
246229	3.56577288713374	1.57058646171535	1.01231988755526	-0.558266574160089	1.03923735807124	0.0242738095109075	0	0.170035315758052	0.494076340726132	0.789819634149883	1	0	0	246229	Bivm	chr1
22592	4.76499662411663	0.154479074576342	0.743885745764656	0.589406671188314	0	0	0	0.988316542113592	0.780065629773374	0.891018121829466	0	0	0	22592	Ercc5	chr1
70676	3.43547819015646	-0.70827733470244	1.5956002367862	2.30387757148864	0	1.33353224183358	3.09767462316248	0.749583464529015	0.11484047322157	0.0100786197607658	0	1	1	70676	Gulp1	chr1
12825	7.94013347039359	1.76495589801252	2.7350297983548	0.970073900342288	0.734220604436423	1.67538407220166	0	0.26278490202167	0.076562850169434	0.548462147596327	0	1	0	12825	Col3a1	chr1
12832	5.92845171333716	2.94091934119097	5.69062548165802	2.74970614046705	1.50533290502743	3.33328429266792	1.31406379371919	0.100943309679569	0.00875269873786487	0.131936442430176	1	1	1	12832	Col5a2	chr1
73674	5.5991297009441	0.192850908803183	0.556207495434844	0.363356586631661	0	0	0	0.956442374887795	0.823239880329396	0.912229242662052	0	0	0	73674	Wdr75	chr1
433297	5.59333001180951	0.156879609371661	0.625027623775997	0.468148014404337	0	0	0	0.97844443514819	0.824938463344941	0.909002396652144	0	0	0	433297	Gm5526	NA
53945	2.99371674434205	2.13452287087048	1.06171825754554	-1.07280461332494	1.31562618445007	0.0829072724214032	-0.0861318351743862	0.122194031642502	0.483732723019234	0.490958343738904	1	0	0	53945	Slc40a1	chr1
